0.000000000,0
0.416507936,A4
0.566712018,G#4
0.685714285,G5
0.971428571,0
1.395510204,A4
1.475396825,G#4
1.605850340,F#6
1.762358276,G5
1.889251700,F5
2.176507936,0
2.299773242,F#6
2.395555555,E6
2.969160997,C#6
3.280793650,D#5
3.539954648,0
3.805895691,D6
3.999274376,D#5
4.123129251,C#6
4.222403628,C4
4.409614512,A#4
4.531700680,0
4.795464852,B5
5.866916099,A5
7.796099773,Eb4
7.960907029,F4
8.327256235,0
8.872925170,G5
9.004988662,G#4
9.118004535,F#4
9.324263038,0
9.615963718,A5
9.980226757,B5
10.141950113,D5
10.309569160,Bb5
10.479183673,E6
10.865079365,Eb6
10.976281179,F5
11.236281179,G6
11.739818594,D#5
12.071428571,0
12.249977324,D6
12.472199546,C#5
12.672199546,E5
12.875510204,D#4
13.263265306,0
13.463582766,F5
14.157142857,0
14.405079365,E4
20.565306122,F#4
21.267301587,C4
21.730612244,G#5
22.239795918,D6
22.345918367,Eb5
22.485827664,F5
22.632653061,E6
22.685442176,B5
22.772743764,C6
22.875510204,Bb5
23.135782312,0
23.251655328,Db6
23.568934240,Eb5
23.969387755,F#5
24.548979591,G6
25.185714285,F5
25.669659863,D6
25.894603174,E6
26.091247165,C#6
26.251020408,B5
26.340861678,C6
26.462040816,A5
26.585396825,Ab5
26.725442176,Bb4
26.942857142,0
27.602721088,E5
27.979591836,0
28.104081632,G4
28.231836734,F#5
29.336734693,C6
30.733673469,F#5
31.152471655,F6
31.988390022,0
32.424489795,0
