0.000000000,0
0.281632653,F4
0.546938775,E4
0.707142857,F#4
3.737755102,C#4
4.222448979,F#4
4.561224489,C#4
5.414693877,0
5.659637188,G4
8.948390022,0
10.278435374,F4
10.480680272,E4
10.633333333,F#4
11.834195011,G4
12.627551020,C#4
13.017346938,G4
13.943310657,F#4
14.140952380,G4
14.192743764,F#4
15.393378684,E4
16.879818594,C#4
17.616326530,G4
18.267981859,0
18.723469387,C#4
19.081133786,G4
19.839274376,A4
21.297052154,Bb4
24.889795918,0
25.264285714,G4
25.948979591,Bb4
26.565306122,G4
27.100000000,Bb4
28.490884353,C5
30.383310657,0
30.766439909,Db5
31.042176870,C5
31.242448979,Db5
33.659183673,0
34.168888888,C5
34.432290249,Db5
35.787755102,C5
36.176689342,Db5
36.739773242,C5
37.468299319,Db5
37.886258503,C5
38.329886621,D5
41.322448979,0
42.003061224,G#5
42.326530612,D5
42.778276643,0
42.896938775,G#4
43.167392290,D5
43.471383219,G#5
43.621587301,D#4
44.002040816,A4
44.506848072,D#5
45.762176870,0
46.065487528,A5
46.663038548,A4
47.148117913,Bb5
48.542857142,E6
52.096870748,0
53.852879818,0
