0.000000000,0
0.418367346,E4
0.740816326,C#4
1.041836734,0
2.755918367,E4
3.070362811,C#4
3.517823129,C#4
3.842902494,0
4.837006802,C#4
5.439274376,E4
6.124263038,0
7.459410430,D5
8.388208616,0
10.077460317,C#4
10.418503401,D5
11.061224489,0
12.200000000,C#4
12.624489795,D4
13.061224489,G#4
13.673469387,0
15.191836734,D5
15.580589569,G#4
16.149478458,0
16.844625850,D4
17.478820861,0
18.320544217,Eb5
18.755918367,0
19.929206349,G6
20.030226757,F#6
20.180158730,F#5
22.175850340,E#5
22.775510204,0
23.147959183,G6
23.253401360,F#6
23.367256235,F#5
23.984761904,0
24.117551020,G6
24.193378684,F#6
24.306122448,F#5
25.835782312,E#5
26.405442176,G4
26.958367346,F#5
27.291836734,G5
27.573469387,F#4
27.981632653,G4
28.124444444,G#4
28.273922902,A4
28.508163265,0
28.697959183,E4
29.034512471,Bb4
29.780612244,G#5
30.818684807,B5
32.307664399,A6
33.669659863,0
34.046258503,0
